Division,Date,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Shots,Away_Shots,Home_Shots_on_Target,Away_Shots_on_Target,Home_Corners,Away_Corners,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards
SP1,2014-08-23,Almeria,Espanol,1,1,D,19,12,6,2,11,7,3,2,0,1
SP1,2014-08-23,Granada,La Coruna,2,1,H,10,7,3,1,5,3,1,2,0,0
SP1,2014-08-23,Malaga,Ath Bilbao,1,0,H,12,12,3,5,5,4,3,3,2,0
SP1,2014-08-23,Sevilla,Valencia,1,1,D,10,11,3,1,3,3,4,2,0,1
SP1,2014-08-24,Barcelona,Elche,3,0,H,12,3,6,0,3,1,0,1,1,0
SP1,2014-08-24,Celta,Getafe,3,1,H,20,12,8,3,4,4,4,1,0,0
SP1,2014-08-24,Eibar,Sociedad,1,0,H,12,19,5,4,5,6,4,1,0,0
SP1,2014-08-24,Levante,Villarreal,0,2,A,9,12,2,6,3,4,1,3,0,0
SP1,2014-08-25,Real Madrid,Cordoba,2,0,H,14,8,8,2,8,5,1,2,0,0
SP1,2014-08-25,Vallecano,Ath Madrid,0,0,D,8,9,2,2,2,4,2,2,0,0
SP1,2014-08-29,Getafe,Almeria,1,0,H,12,11,3,4,2,3,3,2,0,0
SP1,2014-08-29,Valencia,Malaga,3,0,H,14,17,4,4,4,6,1,2,0,1
SP1,2014-08-30,Espanol,Sevilla,1,2,A,4,13,2,6,3,7,4,2,0,0
SP1,2014-08-30,Cordoba,Celta,1,1,D,6,9,1,4,1,6,1,4,0,0
SP1,2014-08-30,Ath Bilbao,Levante,3,0,H,10,10,5,2,2,11,1,4,0,0
SP1,2014-08-30,Ath Madrid,Eibar,2,1,H,15,8,6,2,5,5,3,0,0,0
SP1,2014-08-31,Elche,Granada,1,1,D,15,5,3,4,8,4,4,4,0,0
SP1,2014-08-31,La Coruna,Vallecano,2,2,D,10,12,5,2,2,4,4,6,0,0
SP1,2014-08-31,Sociedad,Real Madrid,4,2,H,13,19,5,5,8,6,1,2,0,0
SP1,2014-08-31,Villarreal,Barcelona,0,1,A,9,20,0,8,3,10,0,2,0,0
SP1,2014-09-13,Barcelona,Ath Bilbao,2,0,H,15,3,8,2,5,1,1,1,0,0
SP1,2014-09-13,Celta,Sociedad,2,2,D,13,20,6,5,5,8,1,5,0,0
SP1,2014-09-13,Malaga,Levante,0,0,D,18,10,7,0,20,1,1,2,0,0
SP1,2014-09-13,Real Madrid,Ath Madrid,1,2,A,21,9,4,2,4,4,4,7,0,0
SP1,2014-09-14,Vallecano,Elche,2,3,A,14,12,4,5,6,5,2,2,0,0
SP1,2014-09-14,Granada,Villarreal,0,0,D,9,14,3,3,9,5,3,2,0,0
SP1,2014-09-14,Sevilla,Getafe,2,0,H,12,7,4,1,8,5,2,6,0,0
SP1,2014-09-14,Valencia,Espanol,3,1,H,11,8,6,3,7,8,1,1,0,0
SP1,2014-09-15,Eibar,La Coruna,0,1,A,14,4,2,1,4,8,0,5,0,0
SP1,2014-09-19,Elche,Eibar,0,2,A,15,8,6,4,10,7,2,1,0,0
SP1,2014-09-20,Ath Bilbao,Granada,0,1,A,13,3,5,2,7,5,2,4,0,0
SP1,2014-09-20,Ath Madrid,Celta,2,2,D,18,5,8,5,6,3,1,3,0,0
SP1,2014-09-20,Espanol,Malaga,2,2,D,13,9,8,3,7,2,2,3,0,0
SP1,2014-09-20,La Coruna,Real Madrid,2,8,A,14,19,5,13,2,3,1,1,0,0
SP1,2014-09-21,Cordoba,Sevilla,1,3,A,9,15,3,8,7,4,6,2,0,0
